17/04/12 09:46:27.638 INFO  [org.jboss.logging.Logger] - New Quartz update(s) found: 1.8.5 [http://www.terracotta.org/kit/reflector?kitID=default&pageID=QuartzChangeLog]
17/04/12 09:46:30.738 INFO  [com.jhw.adm.comclient.ui.LoginDialog$CounterThread] - ......Login...........................
17/04/12 09:46:35.559 INFO  [com.jhw.adm.comclient.ui.LoginDialog$CounterThread] - ......Login...........................
17/04/12 09:46:35.806 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - OID config read Finish......
17/04/12 09:46:37.111 INFO  [com.jhw.adm.comclient.jms.MessageSend] - *Connect Success*
17/04/12 09:46:37.112 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Init Receive Constructor
17/04/12 09:46:37.112 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - JMS Send service init Finish......
17/04/12 09:46:37.210 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - PLC Service Init Finish......
17/04/12 09:46:37.232 WARN  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor$ConsumeTrap] - TrapQueue empty!
17/04/12 09:46:37.233 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - Snmp Trap service init Finish......
17/04/12 09:46:37.302 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - Gprs service init Finish......
17/04/12 09:46:37.303 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - Heartbeat Setup Finish......
17/04/12 09:46:37.304 INFO  [com.jhw.adm.comclient.service.DeviceLogService$4] - Launching device log listen thread.
17/04/12 09:46:37.304 INFO  [com.jhw.adm.comclient.ui.LoginDialog] - DeviceLog Listen Setup Finish......
17/04/12 09:46:37.304 INFO  [com.jhw.adm.comclient.service.DeviceLogService$5] - Launching handle device log thread.
17/04/12 09:46:38.303 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:46:38.564 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:46:38.566 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:46:38.566 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:46:38.566 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:46:50.306 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:46:50.359 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:46:50.359 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
